N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
125,DB하이텍,"62,200",400,+0.65%,"5,000","27,616","44,399",17.21,"653,222",17.44,23.07,
126,한솔케미칼,"243,500",500,+0.21%,"5,000","27,601","11,335",42.02,"29,194",21.28,24.50,
127,한화에어로스페이스,"54,500",200,+0.37%,"5,000","27,593","50,630",20.90,"767,237",12.35,4.78,
128,신세계,"278,500","6,000",-2.11%,"5,000","27,419","9,845",27.96,"106,913",-85.77,-2.81,
129,현대로템,"24,300",0,0.00%,"5,000","26,522","109,142",4.15,"1,785,824",56.25,2.84,
130,현대위아,"96,600",400,-0.41%,"5,000","26,270","27,195",7.48,"383,459",170.67,1.96,
131,대한전선,"3,015",25,-0.82%,500,"25,823","856,473",2.62,"14,169,773",215.36,0.92,
132,한샘,"107,500","1,000",+0.94%,"1,000","25,299","23,534",22.23,"78,896",34.49,10.83,
133,하이트진로,"35,950",900,-2.44%,"5,000","25,213","70,134",6.45,"826,297",31.10,8.23,
134,메리츠화재,"20,850",50,-0.24%,500,"25,150","120,625",10.94,"257,539",5.27,16.91,
135,KODEX 단기채권,"102,805",10,+0.01%,0,"24,880","24,201",0.00,"2,017",N/A,N/A,
136,BNK금융지주,"7,530",170,-2.21%,"5,000","24,543","325,935",38.19,"1,842,637",4.27,6.11,
137,KODEX 200선물인버스2X,"1,865",20,+1.08%,0,"23,451","1,257,400",2.76,"107,334,271",N/A,N/A,
138,한화,"31,200",500,-1.58%,"5,000","23,387","74,959",18.28,"473,692",7.99,4.79,
139,대웅,"40,050","4,250",-9.59%,500,"23,286","58,142",3.91,"2,932,693",27.06,15.10,
140,진원생명과학,"51,500",600,+1.18%,"1,000","23,272","45,189",15.11,"4,158,945",-117.85,-30.43,
141,현대해상,"25,300",550,-2.13%,500,"22,618","89,400",28.44,"637,040",6.11,7.13,
142,LS,"69,200","1,900",-2.67%,"5,000","22,282","32,200",14.87,"261,877",12.19,3.94,
143,효성첨단소재,"487,000","19,500",+4.17%,"5,000","21,817","4,480",10.72,"126,464",60.11,0.03,
144,코오롱인더,"80,400",900,+1.13%,"5,000","21,691","26,979",19.17,"318,996",26.64,9.70,
145,HDC현대산업개발,"32,800",50,-0.15%,"5,000","21,618","65,907",11.75,"514,106",10.45,8.85,
146,TIGER 200,"43,745",245,-0.56%,0,"21,610","49,400",0.00,"420,804",N/A,N/A,
147,효성,"102,000","1,000",-0.97%,"5,000","21,492","21,071",9.59,"40,410",76.23,-2.26,
148,현대엘리베이,"52,000",600,-1.14%,"5,000","21,224","40,815",29.00,"275,267",18.96,9.78,
149,금호타이어,"7,270",160,-2.15%,"5,000","20,884","287,260",4.26,"786,908",-137.17,-6.74,
150,한전기술,"54,400","2,100",-3.72%,200,"20,792","38,220",3.09,"757,613",124.20,N/A,
151,동국제강,"21,450",150,-0.69%,"5,000","20,470","95,433",21.76,"1,036,606",9.72,3.35,
152,오뚜기,"539,000","3,000",-0.55%,"5,000","19,792","3,672",12.93,"5,003",20.44,7.93,
153,현대백화점,"83,500","3,000",-3.47%,"5,000","19,541","23,402",19.82,"402,060",20.04,1.65,
154,한전KPS,"43,400","1,100",-2.47%,200,"19,530","45,000",9.00,"337,410",18.10,8.23,
155,농심,"314,000","2,500",-0.79%,"5,000","19,099","6,083",13.51,"32,078",14.83,7.50,
156,KODEX 삼성그룹,"10,480",30,-0.29%,0,"19,095","182,200",0.06,"313,906",N/A,N/A,
157,프레스티지바이오파마,"31,750","1,000",+3.25%,0,"19,081","60,096",63.86,"413,202",-94.49,N/A,
158,대웅제약,"162,500","7,000",-4.13%,"2,500","18,828","11,587",5.42,"489,588",-170.69,2.38,
